È¸»ç¸í,¾÷Ã¼À¯Çü,¾÷Á¾¸í,»ý»êÇ°,ÀüÈ­¹øÈ£,ÆÑ½º¹øÈ£,¼ÒÀçÁöÁö¹øÁÖ¼Ò,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,µ¥ÀÌÅÍ±âÁØÀÏ
½ë½Ã½ºÅÛ(SSEN SYSTEM),°³ÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,ÁÖÂ÷Àå À¯¼± ºñ»óº§½Ã½ºÅÛ,,031-452-7722,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 39-3¹øÁö ½Å¶óÅ×Å©³ëºô ³ªµ¿ 7Ãþ 704È£(B½Ç),"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 90, ³ªµ¿ 7Ãþ 704È£(B½Ç) (´çµ¿, ½Å¶óÅ×Å©³ëºô)",2025-09-15
¾²¸®¾Ë·¦(ÁÖ),¹ýÀÎ,¹ß±¤ ´ÙÀÌ¿Àµå Á¦Á¶¾÷ ¿Ü 2 Á¾,Àü·Â¹ÝµµÃ¼,031-429-6379,031-429-9127,"°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 14-1 ¾ÆÀÌ¹ë¸® ±ºÆ÷ 302,303,304,604È£","°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 149, 302,303,304,604È£(´çµ¿, ¾ÆÀÌ¹ë¸® ±ºÆ÷)",2025-09-15
¾¾¾Ø¾¾,°³ÀÎ,¹èÇÕ »ç·á Á¦Á¶¾÷ ¿Ü 1 Á¾,»ç·á,031-458-0582,031-459-1737,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 448-1¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î13¹ø±æ 10-5 (´çÁ¤µ¿),2025-09-15
¾¾¾ØÁö½Ã½ºÅÛÁî,°³ÀÎ,¾×Á¤ Ç¥½ÃÀåÄ¡ Á¦Á¶¾÷ ¿Ü 4 Á¾,"¾×Á¤Ç¥½ÃÀåÄ¡, ÄÄÇ»ÅÍ¸ð´ÏÅÍ, Àü½Ã¹×±¤°í¿ëÁ¶¸íÀåÄ¡, ±âÅ¸Àü±âº¯È¯ÀåÄ¡, ÇÃ¶ó½ºÆ½ÇÊ¸§",070-8839-4844,070-8838-4844,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-43¹øÁö 606È£(¿¡ÀÌ½º ÇÏÀÌÅ×Å©µµ½Ã±ºÆ÷),"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52, 606È£(¿¡ÀÌ½º ÇÏÀÌÅ×Å©µµ½Ã±ºÆ÷) (´çÁ¤µ¿)",2025-09-15
¾¾¿£¿ÍÀÌÅ×Å©,°³ÀÎ,°ø±â Á¶È­ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,"Ç×¿ÂÇ×½À±â, ¿Àºì, ¿­Ãæ°Ý½ÃÇè±â, ·ëÃ¤¹ö",070-7510-2395,050-5325-2395,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-59¹øÁö Á¦Áö1Ãþ Á¦ºñ114È£(¿¡ÀÌ½ºÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷),"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 52, Á¦Áö1Ãþ Á¦ºñ114È£(¿¡ÀÌ½ºÇÏÀÌÅ×Å©½ÃÆ¼±ºÆ÷) (´çÁ¤µ¿)",2025-09-15
¾¾¿¤¿¢½ºÄÉ¹ÌÄÃ ÁÖ½ÄÈ¸»ç,¹ýÀÎ,±× ¿Ü ±âÅ¸ ºÐ·ù ¾ÈµÈ È­ÇÐÁ¦Ç° Á¦Á¶¾÷,°¢Á¾ Ãµ¿¬¹° ¹× È­ÇÐ °ü·Ã ¿ø·á,031-429-9398,070-4142-2530,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3 ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ 1402È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 1402È£(´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
¾¾¿¤ÀüÀÚ ÁÖ½ÄÈ¸»ç,¹ýÀÎ,ºñµð¿À ¹× ±âÅ¸ ¿µ»ó±â±â Á¦Á¶¾÷ ¿Ü 1 Á¾,"Â÷·®¿ëºí·¢¹Ú½º,ledÁ¶¸í±â±â",031-424-0365,031-455-1040,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 59-3¹øÁö,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î48¹ø±æ 32, 7Ãþ 701È£,702È£ (´çÁ¤µ¿, ±ÝºÀ¾ÆÆÄÆ®Çü°øÀå)",2025-09-15
¾¾¿¤ÆÄÆ®³Ê(ÁÖ),¹ýÀÎ,¹«ÀÎ Ç×°ø±â ¹× ¹«ÀÎ ºñÇàÀåÄ¡ Á¦Á¶¾÷,¹«ÀÎ ºñÇàÀåÄ¡(µå·Ð),031-689-3259,031-689-3259,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-38 405È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 38, 405È£  (´çÁ¤µ¿)",2025-09-15
¾¾¿¥Å×Å©,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇü Á¦ÀÛ ¹× ±ÝÇü ºÎÇ° °¡°ø,031-457-1297,031-457-1298,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 103µ¿ 6Ãþ 607È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 103µ¿ 6Ãþ 607È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
¾¾¿¥ÇÇ·¦ ÁÖ½ÄÈ¸»ç,¹ýÀÎ,ÀÎ¼âÈ¸·Î±âÆÇ¿ë ÀûÃþÆÇ Á¦Á¶¾÷,ÀÎ¼âÈ¸·Î±âÆÇ,070-7811-8600,031-454-7752,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1247-3¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 65 (ºÎ°îµ¿),2025-09-15
¾¾¿¥ÇÇÇÃ·£Æ®(ÁÖ),¹ýÀÎ,±âÅ¸ °¡Á¤¿ë Àü±â±â±â Á¦Á¶¾÷,À½½Ä¹° ¾²·¹±â Ã³¸®±â,031-456-0222,02-2248-6850,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 695-4¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 240 (±ÝÁ¤µ¿),2025-09-15
¾¾Á¦ÀÌ´ëÇÑÅë¿î ÁÖ½ÄÈ¸»ç,¹ýÀÎ,¾×Ã¼ ¿©°ú±â Á¦Á¶¾÷,"¸·ºÐ¸®¼³ºñ, µå·³½ºÅ©¸°, Æó¼öÃ³¸®ÀåÄ¡, ÇÏ¼öÃ³¸®ÀåÄ¡, ¾×Ã¼¿©°ú±â",02-2017-1340,02-2017-1338,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1072¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î160¹ø±æ 20, 1Ãþ (´çÁ¤µ¿)",2025-09-15
¾¾ÄÉÀÌÁ¤º¸±â¼ú,°³ÀÎ,»ç¹«¿ë ±â°è ¹× Àåºñ Á¦Á¶¾÷,PDP ÀüÀÚÄ¥ÆÇ,031-459-6800,031-459-2299,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 1026-30¹øÁö ¿¡½º¿¡ÀÌÅ¸¿ö 305È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 175, ¿¡½º¿¡ÀÌÅ¸¿ö 305È£ (»êº»µ¿)",2025-09-15
¾Æ¸°Å×Å©(ÁÖ),¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷,ÄÜ³ØÅ¸ Á¶¸³Ç°,031-469-2550,031-469-2549,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-19¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø¾È±æ 28 (´çÁ¤µ¿),2025-09-15
¾Æ¸Þ°¡ÄÚ¸®¾Æ ÁÖ½ÄÈ¸»ç,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÇÃ¶ó½ºÆ½ Á¦Ç° Á¦Á¶¾÷,ÄÁº£ÀÌ¾î º§Æ®,031-448-3613,031-448-3618,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-40¹øÁö 1Ãþ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 32-19, 1Ãþ ÀÏºÎ (´çÁ¤µ¿)",2025-09-15
¾Æ¼¼¾Æ¸ôµå,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇü,031-452-1076,031-452-1086,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 325-38¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 52 (´çÁ¤µ¿),2025-09-15
¾Æ¼Ò¸£ÁÖ½ÄÈ¸»ç,¹ýÀÎ,Ã¶µµÂ÷·® ºÎÇ° ¹× °ü·Ã ÀåÄ¡¹° Á¦Á¶¾÷ ¿Ü 1 Á¾,ÁÖÂ÷Á¦¾îÀåÄ¡(ÁÖÂ÷¶óÄ¿),031-455-1985,031-456-1985,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522 SKº¥Æ¼¿ò 101µ¿ 903È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 101µ¿ 903È£(´çÁ¤µ¿, SKº¥Æ¼¿ò)",2025-09-15
¾Æ½æÄÚ¸®¾Æ ÁÖ½ÄÈ¸»ç,¹ýÀÎ,È­ÀåÇ° Á¦Á¶¾÷,¼¤Çª,031-8091-0026,031-8091-0052,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1054 12Ãþ 1205È£,"°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î 2, 12Ãþ 1205È£(´çÁ¤µ¿)",2025-09-15
¾ÆÀÌ¸ÞµðÄÄ(ÁÖ),¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,"ÀÇ·á¿ëÇ°(ÀÇ·á¿ëÅé,¿¡¾îÈ£½º)",031-479-1156,031-479-1157,"°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40¹øÁö 6Ãþ 612, 709, 804, 815È£","°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 6Ãþ 612, 709, 804, 815È£ (±ÝÁ¤µ¿)",2025-09-15
¾ÆÀÌ¼Ö·çÅØ ÁÖ½ÄÈ¸»ç,¹ýÀÎ,ºñµð¿À ¹× ±âÅ¸ ¿µ»ó±â±â Á¦Á¶¾÷,"CCTV,Â÷·®¿ë ¿µ»ó±â±â",031-426-5089,031-426-5088,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 325-30¹øÁö 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î60¹ø±æ 16, 2Ãþ (´çÁ¤µ¿)",2025-09-15
¾ÆÀÌÁö¿ø ÁÖ½ÄÈ¸»ç,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"ÀÌµ¿Åë½Å¿ë ¸ðµâ, Áß°è±â",031-441-8833,031-441-8834,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Aµ¿ 1205È£, 1206È£, 2103È£, 2104È£","°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Aµ¿ 1205È£, 1206È£, 2103È£, 2104È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
¾ÆÀÌÄÜ ¿ÉÆ½½º,°³ÀÎ,±âÅ¸ ±¤ÇÐ±â±â Á¦Á¶¾÷,·»Áî ¸ðµâ,031-459-5760,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Bµ¿ 1108È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Bµ¿ 1108È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
¾ÆÀÌÇÇµð(ÁÖ),¹ýÀÎ,±âÅ¸ À½Çâ±â±â Á¦Á¶¾÷,(¿ÏÁ¦Ç°)Åë½Å¿ë Çìµå¼Â¿Ü ¾Ç¼¼»ç¸®,070-4217-5775,031-8086-8155,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045¹øÁö ¿¡ÀÌ-1801(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)","°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, ¿¡ÀÌ-1801(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®) (´çÁ¤µ¿)",2025-09-15
¾ÆÁø,°³ÀÎ,"±Ù¹«º¹, ÀÛ¾÷º¹ ¹× À¯»çÀÇº¹ Á¦Á¶¾÷","±³º¹, ¼÷³àº¹, ´ÜÃ¼º¹, ÀÏ¹ÝÀÇ·ù",031-436-1040,031-436-1043,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522 SKº¥Æ¼¿ò,°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166 (´çÁ¤µ¿) SKº¥Æ¼¿ò 103µ¿ 4Ãþ 404È£,2025-09-15
¾ÆÅØ,°³ÀÎ,±âÅ¸ ÀÎ¼â¾÷,È­ÀåÇ°¿ë±â¿¡ ±ÝÀº¹Ú ¹× ½ºÆ¼Ä¿¶óº§,031-427-6824,031-427-6823,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 246-4 ÅÂ¾ç»ê¾÷°øÀå 301È£,"°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î47¹ø±æ 15, 301È£(´çÁ¤µ¿, ÅÂ¾ç»ê¾÷°øÀå)",2025-09-15
¾ÆÇÁ·ÎÀü±â(ÁÖ),¹ýÀÎ,±âÅ¸ Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,"¹«Á¤ÀüÀü¿øÀåÄ¡, À¯µµÇüÀü¾ÐÁ¶Á¤±â, ÁÖÆÄ¼öº¯È¯±â, ¹èÅÍ¸®",031-456-9972,031-456-5797,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ 6Ãþ 602È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 6Ãþ 602È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
¾ÆÇÁ·ÎÄÚ¸®¾Æ(ÁÖ),¹ýÀÎ,Àü±â½Ä Áø´Ü ¹× ¿ä¹ý ±â±â Á¦Á¶¾÷ ¿Ü 2 Á¾,"ÀÇ·á±â±â, ³ó±â°è",031-477-7377,031-477-7977,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 324-1,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 63 (´çÁ¤µ¿) 3Ãþ,4Ãþ,5ÃÑ",2025-09-15
¾Ë¸®ÄÚ,°³ÀÎ,ÀÎ¼â ¹× Á¦Ã¥¿ë ±â°è Á¦Á¶¾÷ ¿Ü 1 Á¾,"ÀÚµ¿È­»ý»ê½Ã½ºÅÛ, ÀÚµ¿¶óº§ºÎÂø±â, ÀÎ¼â±â±â",031-427-4071,031-427-4567,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-1¹øÁö 2Ãþ. 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 22, 2Ãþ. 3Ãþ (»êº»µ¿)",2025-09-15
¾ËÆ¼ÄÄ(ÁÖ),¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 5 Á¾,"¿µ»óÀü¼Û°ü·ÃÀåºñ, ¸ÞÆ®¸¯½º, ±¤ÄÉÀÌºí, ÄÁ¹öÅÍ, ºÐ¹è±â, °øÀ¯±â, ¿µ»ó½Ã½ºÅÛ µî",031-447-0251,031-447-0252,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 325-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 54 (´çÁ¤µ¿),2025-09-15
¾ËÆÄÅ×Å©,°³ÀÎ,Àü½Ã ¹× ±¤°í¿ë Á¶¸íÀåÄ¡ Á¦Á¶¾÷,LED¸ðµâ,,031-443-0568,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42 1µ¿ 11Ãþ 1118È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 1µ¿ 11Ãþ 1118È£(´çÁ¤µ¿)",2025-09-15
¾×ÀÚ¸¶À»,°³ÀÎ,Àå½Ä¿ë ¸ñÁ¦Ç° Á¦Á¶¾÷,"ÀÏ¹Ý¾×ÀÚ, ¿£Æ½¾×ÀÚ",031-456-1164,031-456-1174,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 432-1¹øÁö,°æ±âµµ ±ºÆ÷½Ã °í»ê·Î118¹ø±æ 7 (´çÁ¤µ¿),2025-09-15
¾ØÆ¼¾¾,°³ÀÎ,ÀüÀÚºÎÇ° ½ÇÀå±âÆÇ Á¦Á¶¾÷,Æù´ëÇÁ µî,031-479-7440,031-479-7446,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 9Ãþ 916È£ (±ÝÁ¤µ¿, ÇÑ¸²ÈÞ¸ÕÅ¸¿ö)",2025-09-15
¾ç¸í»ê¾÷»çÁÖ½ÄÈ¸»ç,¹ýÀÎ,"°í¹«, È­ÇÐ¼¶À¯ ¹× ÇÃ¶ó½ºÆ½ ¼ºÇü±â Á¦Á¶¾÷",ÀÚµ¿Â÷µµ¾î·¡Ä¡ Ä³Ä¡ÄÚÆÃ,031-451-3049,,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 519-5 ¾ç¸í»ê¾÷»ç,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î27¹ø±æ 37, ¾ç¸í»ê¾÷»ç (´çÁ¤µ¿)",2025-09-15
¿¡ºü´ÏÄÚÆÛ·¹ÀÌ¼Ç,°³ÀÎ,¹ÝµµÃ¼ Á¦Á¶¿ë ±â°è Á¦Á¶¾÷,Â÷·ù(Æ÷Àå),031-427-6635,031-451-5279,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 689-6¹øÁö ÇÑ¸²º¥Ã³Å¸¿î 3Ãþ 303È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 284, 3Ãþ 303È£ (±ÝÁ¤µ¿, ÇÑ¸²º¥Ã³Å¸¿î)",2025-09-15
¿¡¼¿Æ¼¿¡½º,°³ÀÎ,¾×Á¤ Ç¥½ÃÀåÄ¡ Á¦Á¶¾÷,±ÝÇüÄÚ¾î °æ¸éÃ³¸®/·¹ÀÌÀú°¡°ø,031-429-5652,031-429-5654,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 14-1¹øÁö ¾ÆÀÌ¹ë¸® ±ºÆ÷ B1Ãþ Á¦ÁöÇÏÃþ109,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 149, B1Ãþ Á¦ÁöÇÏÃþ109 (´çµ¿, ¾ÆÀÌ¹ë¸® ±ºÆ÷)",2025-09-15
¿¡½º´õºíÀ¯Æ¼,°³ÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷,"Àü±âÆÇ³Ú ¹è¼±, ÄÉÀÌºí",031-470-2775,031-470-2774,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42 1201È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, 1201È£(´çÁ¤µ¿)",2025-09-15
¿¡½ººñ¿¥,°³ÀÎ,Á¤Çü¿Ü°ú¿ë ¹× ½ÅÃ¼º¸Á¤¿ë ±â±â Á¦Á¶¾÷,"ÀÓÇÃ¶õÆ®ºÎÇ°, Ãß°üÀýºÎÇ°",031-459-3218,031-452-3230,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 327-1¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø±æ 45 (´çÁ¤µ¿),2025-09-15
¿¡½ººñÀÌ¿£µð ÁÖ½ÄÈ¸»ç,¹ýÀÎ,¹æ¼ÛÀåºñ Á¦Á¶¾÷ ¿Ü 2 Á¾,"¹æ¼ÛÀåºñ Á¦Á¶¾÷, ¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷, ±âÅ¸Àü±â º¯È¯ÀåÄ¡ Á¦Á¶¾÷",031-446-1816,0504-842-1816,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-4 ÇÑ¸²¿¤Å¸¿ö 307È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 22, 307È£(´çÁ¤µ¿, ÇÑ¸²¿¤Å¸¿ö)",2025-09-15
¿¡½º¾ØºñÅ©¸°ÅØ,°³ÀÎ,¾×Ã¼ ¿©°ú±â Á¦Á¶¾÷,¼öÃ³¸®±â±â(Á¤¼öÀåÄ¡),031-349-7323,031-349-7325,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 14-13¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î166¹ø±æ 9-25, ¿Ü 1ÇÊÁö 2Ãþ (»êº»µ¿)",2025-09-15
¿¡½º¿¡½º¿¡ÇÁ(SSF),°³ÀÎ,½Ä¿ë Á¤Á¦À¯ ¹× °¡°øÀ¯ Á¦Á¶¾÷,½Ä¿ë Á¤Á¦À¯ ¹× °¡°øÀ¯ Á¦Á¶¾÷,070-7717-7010,02-6937-0629,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 629-6¹øÁö 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î36¹ø±æ 16, 3Ãþ (´çÁ¤µ¿)",2025-09-15
¿¡½º¿¡½ºÅ×Å©,°³ÀÎ,ÃàÀüÁö Á¦Á¶¾÷ ¿Ü 2 Á¾,"1Â÷ÀüÁö(¾ËÄ«¶óÀÎ), 2Â÷ÀüÁö(¸®Æ¬ÀÌ¿Â), ¾î´ðÅÍ",031-458-9955,031-458-9956,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-40 ½Å±¤ÇÁ¶óÀÚ 1µ¿ 3Ãþ(ÀÏºÎ),"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 32-19, 1µ¿ 3Ãþ(ÀÏºÎ) (´çÁ¤µ¿, ½Å±¤ÇÁ¶óÀÚ)",2025-09-15
¿¡½º¿£¾ÆÀÌ(ÁÖ),¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷,Àü±âÀÚµ¿Á¦¾î¹Ý,031-479-2220,031-479-2221,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40¹øÁö 7Ãþ 711È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 7Ãþ 711È£ (±ÝÁ¤µ¿)",2025-09-15
¿¡½º¿¥ÄÚ¸®¾Æ,°³ÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇüºÎÇ°(ÇÖ ·¯³Ê½Ã½ºÅÛ),031-459-0380,031-459-0381,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 526-1,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î36¹ø±æ 1 (´çÁ¤µ¿) 1Ãþ ÀÏºÎ,2025-09-15
¿¡½º¿¥Æ¼½ºÄ«¿ìÆ®,°³ÀÎ,ÀüÀÚºÎÇ° ½ÇÀå±âÆÇ Á¦Á¶¾÷ ¿Ü 3 Á¾,"³×ºñ°ÔÀÌ¼Ç, PMP, DMB MODULE, MID",031-455-2460,031-455-2461,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 470-1¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 38 (´çÁ¤µ¿),2025-09-15
¿¡½º¿¥Æ¼À¯Å×Å©,°³ÀÎ,ÀüÀÚºÎÇ° ½ÇÀå±âÆÇ Á¦Á¶¾÷,"ºí·¢¹Ú½º ¹ÝÁ¦Ç°, À½Çâ±â±â ¹ÝÁ¦Ç°, ¼Ò¹æ±â±â ¹ÝÁ¦Ç°",031-304-7537,031-427-8970,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42¹øÁö ±ºÆ÷¿¥Å×Å©³ë¼¾ÅÍ 708È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, ±ºÆ÷¿¥Å×Å©³ë¼¾ÅÍ 708È£ (´çÁ¤µ¿)",2025-09-15
¿¡½º¿¥ÆÄ¿öÅØ(ÁÖ),¹ýÀÎ,"ÀüÀÚ±â ÃøÁ¤, ½ÃÇè ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷","ÀÚµ¿È­ ¼³ºñ, JIG, ½Å·Ú¼º ¼³ºñ",031-477-8818,031-477-8819,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 39-3¹øÁö ½Å¶óÅ×Å©³ëºô 4Ãþ 402,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 90, 4Ãþ 402 (´çµ¿, ½Å¶óÅ×Å©³ëºô)",2025-09-15
¿¡½º¿¥Çªµå,°³ÀÎ,»§·ù Á¦Á¶¾÷,"»§·ù,µµ³ÓÃ÷",031-477-7555,031-477-7554,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 415-6 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î28¹ø±æ 14, 3Ãþ (´çÁ¤µ¿)",2025-09-15
¿¡½ºÁ¦ÀÌ ¿¡·¹Ã÷,°³ÀÎ,»ê¾÷¿ë ·Îº¿ Á¦Á¶¾÷,"»ê¾÷¿ë ·Îº¸Æ®,ÀüÀÚºÎÇ° ÀÚµ¿È­ÀåÄ¡",031-8068-8800,,»êº»µ¿ 18-15 3Ãþ 301È£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 15, 3Ãþ 301È£(»êº»µ¿)",2025-09-15
