회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품,주원자재
에이아이시스템즈(주),"경기도 의왕시 한밭들2길 14, 2층 (고천동)",경기도 의왕시 고천동 332-52번지 2층,"물질 검사, 측정 및 분석기구 제조업",070-8839-5506,0303-3443-5506,3,"자동차부품 분석기구(비파괴 검사기, 음향공진 검사기)",
에이엠지 주식회사,"경기도 의왕시 이미로 40, C동 2층 214호 (포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 C동 2층 214호,기타 산업용 유리제품 제조업 외 1 종,031-383-4022,031-624-4022,4,"ITO Glass, FTO Glass"," ITO Glass, FTO Glass, NiO Glass, Cr Glass,  AF Glass, Soda Glass"
에이이케이(AEK),"경기도 의왕시 오봉산단1로 12, 10층 9호(이동) 10층 9호 외 1필지",경기도 의왕시 이동 732 10층 9호 10층 9호,에너지 저장장치 제조업,,,5,에너지 저장장치,전자부품
에이이티,"경기도 의왕시 경수대로 257, 4층 406 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 4층 406,전자부품 실장기판 제조업,031-459-5932,031-459-5932,1,PCB 조립,"PCB, 전자부품"
에이치에스도장건설(주),"경기도 의왕시 옻우물길 30, 제3호 (오전동)",경기도 의왕시 오전동 208번지 제3호,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,032-511-0482,032-511-0483,1,"미끄럼방지 포장재, 도장형 바닥재, 코르크",아크릴수지(MMA)
에이플러스,"경기도 의왕시 맑은내길 77-8(오전동, 에이플러스)",경기도 의왕시 오전동 143-1 에이플러스,플라스틱 접착처리 제품 제조업 외 1 종,031-452-0768,031-452-0769,13,화장품 외관 코팅처리기,플라스틱
에프에스앤피플(주),"경기도 의왕시 오전공업길 13, 301, 302, 303호(오전동, 벽산선영테크노피아)","경기도 의왕시 오전동 196-5 벽산선영테크노피아 301, 302, 303호",일반용 전기 조명장치 제조업 외 3 종,031-687-3119,031-687-3116,11,유도등외자동화재탐지설비등,"회로기판,케이스사출몰,배터리,도광판"
에프엔에스(주),"경기도 의왕시 오봉산단1로 12, 1202호  (이동)",경기도 의왕시 이동 732 1202호,"탭, 밸브 및 유사장치 제조업",070-4241-5755,,4,자동밸브,"카트리지, 구동기, 전원연결 하네스, 컨넥션 브라켓"
엑세스주식회사,경기도 의왕시 경수대로 257 (고천동) 대영골든밸리,경기도 의왕시 고천동 290-2 대영골든밸리,그 외 기타 의료용 기기 제조업,031-5177-4030,,0,일회용의료기기,"플라스틱, 고무"
엔스텝,"경기도 의왕시 오전공업길 19, 8층 801 (오전동, 대현테크노월드)",경기도 의왕시 오전동 172-4번지 대현테크노월드 8층 801,그 외 기타 전기장비 제조업,031-477-0470,031-477-0471,5,자동제어 콘트롤판넬,"전기자재, 케이블, 전자부품"
엔씨에스이엔지,"경기도 의왕시 오봉산단3로 25, 213호 (삼동) 외 1필지",경기도의왕시 삼동 745 213호,유압기기 제조업,031-461-4858,050-4066-4500,0,injection Nozzle,sus304
엔에스게이트 주식회사,"경기도 의왕시 맑은내길 81-3(오전동, (주)우정메카트로닉스)",경기도 의왕시 오전동 137-1 (주)우정메카트로닉스,그 외 기타 특수목적용 기계 제조업 외 6 종,031-453-5419,031-459-5418,5,"출입보안통제시스템, 보안용 금속탐지기","강판, 유리, PCB 등"
엔에이치솔라 주식회사,"경기도 의왕시 오봉산단3로 25, 522호(삼동)",경기도 의왕시 삼동 745 522호,기타 무선 통신장비 제조업,063-453-2276,0303-0950-9100,3,기타 무선 통신장비,모듈
엘코스바이오텍,"경기도 의왕시 경수대로 209, 406호 (고천동)",경기도 의왕시 고천동 234-6번지 월드비젼 406호,그 외 기타 분류 안된 화학제품 제조업 외 1 종,031-477-8512,031-477-8513,5,화장품원료용 식물성엑기스,
엠쓰리테크,"경기도 의왕시 이미로 40, D동 4층 401 (포일동)",경기도 의왕시 포일동 653번지 D동 4층 401,인쇄회로기판용 적층판 제조업 외 2 종,031-342-0003,,3,PCB제작 외,회로기판
엠앤에스워터(주),"경기도 의왕시 한밭들1길 11, A동 1층 101 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 1층 101,속도계 및 적산계기 제조업 외 1 종,031-436-0791,050-5377-0793,5,수도미터,"PCB, battery"
연우금속,"경기도 의왕시 월암길 21, 1층(월암동, 주식회사 연우테크)",경기도 의왕시 월암동 350 주식회사 연우테크 1층,수동식 식품 가공기기 및 금속 주방용기 제조업,,,3,"가구 부품, 알루미늄 손잡이",알루미늄
연필,경기도 의왕시 월암길 79 (월암동) 연필 (월암동 291-5),경기도 의왕시 월암동 291-2,산업용 로봇 제조업,070-5136-7397,,3,"산업로봇 부품,  비철금속 가공","알루미늄, 플라스틱 수지, 목재, 아크릴"
영도메디칼,"경기도 의왕시 이미로 40, D동 B1층 B102 (포일동)",경기도 의왕시 포일동 653번지 D동 B1층 B102,그 외 기타 의료용 기기 제조업,031-388-2662,031-388-2663,2,"의료기기(안구운동 감시장치, 에어로졸마스크)",펄프
영일화학,"경기도 의왕시 고고리길 108 (왕곡동, 주환교역(주))",경기도 의왕시 왕곡동 460-5번지,계면활성제 제조업,031-452-4616,031-459-1853,3,"수용성세척제,리무버","탄산소다,계면활성제"
예사,"경기도 의왕시 경수대로391번길 14-11(오전동, (주)나라테크)",경기도 의왕시 오전동 38-1 (주)나라테크,"근무복, 작업복 및 유사의복 제조업 외 1 종",031-427-6731,031-451-6731,25,의류,원단
오리셀(주),경기도 의왕시 오전공업길 52-1 (고천동),경기도 의왕시 고천동 394-5번지,"전기회로 개폐, 보호장치 제조업 외 1 종",031-456-3847,031-451-3846,26,휴즈,"유리관, 동판"
오봉주조,"경기도 의왕시 왕곡로 9 (고천동, 고천합동양조장)",경기도 의왕시 고천동 261-1번지,탁주 및 약주 제조업,031-452-4108,031-427-5839,4,탁주,소맥분
오비스텍 주식회사,"경기도 의왕시 이미로 40, B동 1층 102 (포일동)",경기도 의왕시 포일동 653번지 B동 1층 102,그 외 기타 의료용 기기 제조업,031-456-0226,031-624-6103,4,안면고정용 봉합사,
오비스텍 주식회사,"경기도 의왕시 이미로 40, B동 3층 305호(포일동, 인덕원IT밸리) 외 1필지",경기도 의왕시 포일동 653 인덕원IT밸리 B동 3층 305호,의료용품 및 기타 의약 관련제품 제조업 외 1 종,,,6,"기초화장품, 조직 수복용 생체재료",히알루론산
오션과학,"경기도 의왕시 오봉산단3로 25, 1동 810호(삼동)",경기도 의왕시 삼동 745 1동 810호,"물질 검사, 측정 및 분석기구 제조업 외 1 종",031-427-1730,031-427-1731,3,시험장비기기,"스틸, 플라스틱, 전자부품"
오스템올소 주식회사,"경기도 의왕시 오전공업길 13, 제에이동 1203호, 1204호(오전동, 벽산선영테크노피아)","경기도 의왕시 오전동 196-5 벽산선영테크노피아 제에이동 1203호, 1204호",치과용 기기 제조업,031-477-9902,031-477-9904,82,"브라켓, 와이어","브라켓, 와이어"
옴니시스템,"경기도 의왕시 맑은내길 92 (오전동, 이성정밀)",경기도 의왕시 오전동 188-1번지,기타 전기 변환장치 제조업 외 1 종,031-479-1289,031-479-1292,4,ups,
옵틱스앤라이팅솔루션(주),"경기도 의왕시 오전공업길 19, 11층 1103 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 11층 1103,일반용 전기 조명장치 제조업,031-391-6395,070-4032-9292,3,"LED조명 모듈, LED투광등, LED터널등, LED가로등","LED, PCB, Plastic Lens, 알루미늄 다이캐스팅, Plastic 사출물"
와이유테크,"경기도 의왕시 월암길 75-6, B동 (월암동)",경기도 의왕시 월암동 299-7번지 B동 ,그 외 기타 플라스틱 제품 제조업 외 3 종,031-462-3117,,2,차선 중앙분리,
와이지 바이오,"경기도 의왕시 경수대로 257, 11층 1107 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 11층 1107,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업 외 21 종,031-461-4527,031-462-7207,1,"탈취제, 화장품, 비누, 숙취해소음료, 액상사료원료, 액상비료원, 조류제거제,탈황제","천연휴믹산, 풀빅액씨드"
우린바이오텍,"경기도 의왕시 오전공업길 19, 9층 903호(오전동, 대현테크노월드)",경기도 의왕시 오전동 174 대현테크노월드 9층 903호,그 외 기타 식료품 제조업,031-429-5790,0505-300-5790,3,"산삼배양근환, 진생베리홍녹침향환, 황제홍삼환","홍삼, 침향, 당귀, 감초"
우림산업,경기도 의왕시 삼동 363-3번지 외 2필지,경기도 의왕시 삼동 363-3번지,전기용 탄소제품 및 절연제품 제조업,031-462-4848,031-462-4850,5,"등, 전선류","eva, P.V.C, 전선"
우미,경기도 의왕시 백운로 157 (오전동),경기도 의왕시 오전동 663-17,주방용 및 음식점용 목재가구 제조업,031-427-0075,031-427-0038,5,"씽크대, 붙박이장 외","합판, 경첩 등"
우성로지스틱,경기도 의왕시 오전동 789-117번지,경기도 의왕시 오전동 789-117번지,핵반응기 및 증기보일러 제조업,031-452-5915,031-452-5916,1,배관자재,
우성정밀,"경기도 의왕시 한밭들2길 8, 1층 (고천동, 신일MOLD(주))",경기도 의왕시 고천동 332-54번지 신일MOLD(주) 1층,주형 및 금형 제조업,031-459-1037,031-459-1038,18,LED 금형 및 사출,금형
우신크라이오백(주),"경기도 의왕시 오전공업길 22, 동영벤처스텔601호 (오전동)",경기도 의왕시 오전동 172번지 동영벤처스텔601호,반도체 제조용 기계 제조업 외 2 종,031-457-5615,031-457-5629,15,정밀기기,
워나산업,"경기도 의왕시 오봉산단3로 25, 1동 2층 208호(삼동, 의왕테크노파크 더리브 비즈원) 외 1필지",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 2층 208호,"천막, 텐트 및 유사 제품 제조업",,,0,"천막, 텐트",폴리PVC 원단
원테크 ,"경기도 의왕시 한밭들1길 11, A동 4층 402-07,08 (고천동, 성우아파트형공장)","경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 4층 402-07,08",인쇄회로기판용 적층판 제조업,031-427-8897,031-427-8897,5,PCB A'SSY,
원텍,"경기도 의왕시 고산로 74, 7층 701 (고천동, 성진아파트형공장)",경기도 의왕시 고천동 407-1번지 성진아파트형공장 7층 701,주형 및 금형 제조업,031-477-3547,031-477-3549,3,정밀 금형부품,금형
웨인코리아,"경기도 의왕시 오봉산단3로 25, 313호, 314호 (삼동)","경기도 의왕시 삼동 745 313호, 314호",철도차량 부품 및 관련 장치물 제조업,031-477-9044,031-477-9045,5,철도차량부품 및 관련 장치물,"케이블 커넥터, 전기부품"
위드요히,"경기도 의왕시 오봉산단3로 25, 1동 916호(삼동)",경기도 의왕시 삼동 745 1동 916호,그 외 기타 의복액세서리 제조업,,,0,의복 액세서리,직물
윈텍시스템(주),"경기도 의왕시 벌모루앞길 14 (포일동, 윈텍벤처빌딩)",경기도 의왕시 포일동 511번지,유선 통신장비 제조업,031-425-2277,031-425-2255,33,통신기기,
유니스테크,"경기도 의왕시 오봉산단3로 25, 514호 (삼동)",경기도 의왕시 삼동 745 514호,주형 및 금형 제조업,031-427-9983,031-427-9986,3,금형제작 및 금형부품 가공,금형특수강소재
유니전자,"경기도 의왕시 경수대로 209, 706호 (고천동)",경기도 의왕시 고천동 234-6번지,유선 통신장비 제조업,031-477-8115,031-429-8276,10,유선통신기기,
유니크(주),"경기도 의왕시 경수대로 257, 10층 1001 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 10층 1001,그 외 기타 특수목적용 기계 제조업 외 1 종,031-450-6717,031-450-6718,6,mobilephone용 자동화 설비,가공부품
유신유통,경기도 의왕시 월암길 62 (월암동),경기도 의왕시 월암동 311-1,수산동물 냉동품 제조업,031-462-3151,031-462-3152,5,냉동수산물,다랑어
의왕시 장애인재활자립작업장,"경기도 의왕시 고산로 25 (고천동, 의왕시장애인재활자립작업실)",경기도 의왕시 고천동 439-212번지,그 외 기타 전기장비 제조업,031-456-6110,031-456-6113,2,"전자,전장제품",
이씨아이 주식회사,"경기도 의왕시 맑은내길 67, 4층 1호(오전동, (주)에이엘티지식산업센터) 외 5필지",경기도 의왕시 오전동 150-24 (주)에이엘티지식산업센터 4층 1호,자동차 차체용 신품 부품 제조업 외 1 종,031-431-2152,031-431-2107,86,자동차용 디스플레이제품(계기반),"cover glass, LCD, film"
이안오토메이션,"경기도 의왕시 오봉산단1로 12, 5층 505호 (이동)",경기도 의왕시 이동 732 5층 505호,산업처리공정 제어장비 제조업,031-493-2193,,4,전기 판넬,판넬
이젠스 주식회사,"경기도 의왕시 고산로 74, 404호(고천동, 성진아파트형공장)",경기도 의왕시 고천동 407-1 성진아파트형공장 404호,기타 전기 변환장치 제조업,031-455-5301,031-455-5302,12,배터리 팩,배터리 셀
인스앤코 주식회사,"경기도 의왕시 고산로 38, 3층 (고천동)",경기도 의왕시 고천동 332-55번지 3층,일반용 전기 조명장치 제조업 외 11 종,031-689-4482,070-4015-6882,23,"통신기기, LDE조명, 조명장치기구","LED,금속등기구,전선,플라스틱 외"
자강산업(주)의왕공장,"경기도 의왕시 고천공업로 7 (고천동, 자강산업(주))",경기도 의왕시 고천동 320-2번지,그 외 기타 플라스틱 제품 제조업,031-454-6801,031-454-6821,8,"세탁기,모니터케이스","ABSRESIN,HIPSRESIN"
자드 씨엔씨(JAD C&C),경기도 의왕시 오전공업길 42-35 (고천동),경기도 의왕시 고천동 390-1번지,플라스틱 접착처리 제품 제조업 외 1 종,031-297-7754,031-297-7794,8,화장품 용기,"페인트, 신나"
자미수,"경기도 의왕시 이미로 40, B동 2층 203 (포일동)",경기도 의왕시 포일동 653번지 B동 2층 203,떡류 제조업,,031-8084-3513,7,떡,
정광(주),"경기도 의왕시 오전공업길 19, 6층 610 (오전동, 대현테크노월드)",경기도 의왕시 오전동 172-4번지 대현테크노월드 6층 610,방송장비 제조업 외 1 종,031-705-1160,031-705-1160,3,"영상감시장치, CCTV, 차량번호판독기",케이블
정일금형정공(주),경기도 의왕시 맑은내길 90-12 (오전동),경기도 의왕시 오전동 184-8번지,주형 및 금형 제조업 외 1 종,031-452-6025,031-452-6029,39,금형 사출,금형
제이더블유컴퍼니 주식회사,"경기도 의왕시 이미로 40, D동 B1층 B113호 (포일동)",경기도 의왕시 포일동 653번지 D동 B1층 B113호,그 외 기타 전자부품 제조업,031-8069-8898,031-8069-8897,8,전자부품 제조(사출),Resin(Sumitomo)
제이디미디어(주),"경기도 의왕시 이미로 40, C동 7층 709 (포일동)",경기도 의왕시 포일동 653번지 C동 7층 709,비디오 및 기타 영상기기 제조업 외 4 종,070-5004-3000,031-8055-5911,9,PA용 음향장비,
제이비퀘스트(주),"경기도 의왕시 오전공업길 13, 2층 202 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 A동 2층 202,그 외 기타 전자부품 제조업,031-466-7387,031-466-7389,4,"VFD, ATM용 히터",
